@relation 'Masterdatav1.1-weka.filters.unsupervised.attribute.Remove-R1-4,6-11,13,15-19'

@attribute Day {Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday}
@attribute Min.Gap numeric
@attribute Delaytype {'Short Delay','Long Delay'}
@attribute wardname {Eglinton-Lawrence ,Scarborough-Guildwood ,'Toronto-St. Paul’s  ','Scarborough Southwest ',Toronto-Danforth ,'York Centre ','Spadina-Fort York ',University-Rosedale ,Scarborough-Agincourt ,'Beaches-East York ',Willowdale ,'Etobicoke North ','Don Valley West  ','Toronto Centre ','York South-Weston ','Parkdale-High Park ','Don Valley North ','Humber River-Black Creek ',Davenport ,Etobicoke-Lakeshore ,'Don Valley East  ','Scarborough North ','Scarborough Centre ','Scarborough-Rouge Park  ','Etobicoke Centre '}
@attribute Wardpopulationrank {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25'}
@attribute wardmedianage {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25'}
@attribute wardunemployment {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25'}
@attribute wardincome {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25'}
@attribute Meantemp numeric
@attribute Totalprecip numeric

@data
Sunday,1,'Short Delay','Scarborough Southwest ',9,9,6,15,1.9,0
Sunday,83,'Long Delay','York South-Weston ',5,16,8,12,1.9,0
Sunday,0,'Short Delay','Etobicoke North ',3,21,3,20,1.9,0
Sunday,1,'Short Delay','Etobicoke North ',3,21,3,20,1.9,0
Sunday,20,'Short Delay',Eglinton-Lawrence ,7,12,17,13,1.9,0
Sunday,20,'Short Delay',Eglinton-Lawrence ,7,12,17,13,1.9,0
Sunday,5,'Short Delay','Scarborough Southwest ',9,9,6,15,1.9,0
Sunday,6,'Short Delay','Scarborough Southwest ',9,9,6,15,1.9,0
Sunday,20,'Short Delay','Scarborough Southwest ',9,9,6,15,1.9,0
Sunday,999,'Long Delay','Etobicoke North ',3,21,3,20,1.9,0
Sunday,33,'Long Delay','Scarborough North ',24,3,5,25,1.9,0
Sunday,26,'Short Delay','Toronto Centre ',20,24,12,3,1.9,0
Sunday,26,'Short Delay','Toronto Centre ',20,24,12,3,1.9,0
Sunday,19,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,1.9,0
Sunday,16,'Short Delay','Scarborough Southwest ',9,9,6,15,1.9,0
Sunday,20,'Short Delay',Eglinton-Lawrence ,7,12,17,13,1.9,0
Sunday,60,'Long Delay','Don Valley East  ',25,7,9,19,1.9,0
Sunday,505,'Long Delay','Spadina-Fort York ',6,25,25,1,1.9,0
Sunday,39,'Long Delay','York Centre ',18,8,16,17,1.9,0
Sunday,30,'Long Delay','Parkdale-High Park ',12,18,23,6,1.9,0
Sunday,28,'Long Delay','Scarborough Centre ',8,14,7,16,1.9,0
Sunday,47,'Long Delay','Don Valley North ',10,5,10,14,1.9,0
Sunday,12,'Short Delay',Eglinton-Lawrence ,7,12,17,13,1.9,0
Sunday,44,'Long Delay',Willowdale ,2,17,13,7,1.9,0
Sunday,27,'Short Delay',Willowdale ,2,17,13,7,1.9,0
Sunday,30,'Long Delay','York Centre ',18,8,16,17,1.9,0
Sunday,40,'Long Delay',Etobicoke-Lakeshore ,1,4,21,2,1.9,0
Sunday,35,'Long Delay','Scarborough Southwest ',9,9,6,15,1.9,0
Sunday,28,'Short Delay','Beaches-East York ',11,10,14,9,1.9,0
Sunday,24,'Short Delay','Scarborough Southwest ',9,9,6,15,1.9,0
Sunday,16,'Short Delay','Scarborough Centre ',8,14,7,16,1.9,0
Sunday,20,'Short Delay','York South-Weston ',5,16,8,12,1.9,0
Sunday,413,'Long Delay',Toronto-Danforth ,16,15,22,8,1.9,0
Sunday,28,'Long Delay','Scarborough Southwest ',9,9,6,15,1.9,0
Sunday,20,'Short Delay',Davenport ,13,20,20,10,1.9,0
Sunday,17,'Short Delay',Davenport ,13,20,20,10,1.9,0
Sunday,24,'Short Delay',Scarborough-Guildwood ,22,19,1,23,1.9,0
Sunday,14,'Short Delay','York Centre ',18,8,16,17,1.9,0
Sunday,17,'Short Delay','Etobicoke North ',3,21,3,20,1.9,0
Sunday,19,'Short Delay','Scarborough North ',24,3,5,25,1.9,0
Sunday,24,'Short Delay',Etobicoke-Lakeshore ,1,4,21,2,1.9,0
Sunday,1,'Short Delay','Don Valley East  ',25,7,9,19,1.9,0
Sunday,16,'Short Delay',Willowdale ,2,17,13,7,1.9,0
Sunday,7,'Short Delay',Eglinton-Lawrence ,7,12,17,13,1.9,0
Sunday,20,'Short Delay','York South-Weston ',5,16,8,12,1.9,0
Sunday,7,'Short Delay','York Centre ',18,8,16,17,1.9,0
Sunday,47,'Long Delay','Parkdale-High Park ',12,18,23,6,1.9,0
Sunday,18,'Short Delay','York South-Weston ',5,16,8,12,1.9,0
Sunday,10,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,1.9,0
Sunday,14,'Short Delay',Eglinton-Lawrence ,7,12,17,13,1.9,0
Sunday,20,'Short Delay','Etobicoke North ',3,21,3,20,1.9,0
Sunday,20,'Short Delay','Beaches-East York ',11,10,14,9,1.9,0
Sunday,1,'Short Delay',Toronto-Danforth ,16,15,22,8,1.9,0
Sunday,1,'Short Delay',University-Rosedale ,19,23,18,5,1.9,0
Sunday,75,'Long Delay','Toronto-St. Paul’s  ',15,11,24,4,1.9,0
Sunday,18,'Short Delay','Don Valley East  ',25,7,9,19,1.9,0
Sunday,13,'Short Delay',Davenport ,13,20,20,10,1.9,0
Sunday,20,'Short Delay','Don Valley East  ',25,7,9,19,1.9,0
Sunday,26,'Short Delay','Toronto Centre ',20,24,12,3,1.9,0
Sunday,18,'Short Delay','York South-Weston ',5,16,8,12,1.9,0
Sunday,20,'Short Delay','York South-Weston ',5,16,8,12,1.9,0
Sunday,18,'Short Delay','Parkdale-High Park ',12,18,23,6,1.9,0
Sunday,607,'Long Delay','Toronto Centre ',20,24,12,3,1.9,0
Sunday,20,'Short Delay','York South-Weston ',5,16,8,12,1.9,0
Sunday,18,'Short Delay','Parkdale-High Park ',12,18,23,6,1.9,0
Sunday,48,'Long Delay','Don Valley East  ',25,7,9,19,1.9,0
Sunday,16,'Short Delay',Scarborough-Agincourt ,17,2,4,21,1.9,0
Sunday,36,'Long Delay','Scarborough Southwest ',9,9,6,15,1.9,0
Sunday,24,'Short Delay','Toronto Centre ',20,24,12,3,1.9,0
Sunday,20,'Short Delay','Beaches-East York ',11,10,14,9,1.9,0
Sunday,20,'Short Delay','Humber River-Black Creek ',14,22,2,22,1.9,0
Sunday,134,'Long Delay','Etobicoke North ',3,21,3,20,1.9,0
Sunday,18,'Short Delay',Eglinton-Lawrence ,7,12,17,13,1.9,0
Sunday,48,'Long Delay','Toronto-St. Paul’s  ',15,11,24,4,1.9,0
Sunday,40,'Long Delay',Eglinton-Lawrence ,7,12,17,13,1.9,0
Sunday,40,'Long Delay','Don Valley North ',10,5,10,14,1.9,0
Sunday,40,'Long Delay','Don Valley North ',10,5,10,14,1.9,0
Sunday,20,'Short Delay',Etobicoke-Lakeshore ,1,4,21,2,1.9,0
Monday,20,'Short Delay','Spadina-Fort York ',6,25,25,1,-3.6,2.2
Monday,20,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,45,'Long Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,53,'Long Delay',University-Rosedale ,19,23,18,5,-3.6,2.2
Monday,1,'Short Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,20,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,20,'Short Delay',Toronto-Danforth ,16,15,22,8,-3.6,2.2
Monday,34,'Long Delay','Don Valley West  ',21,13,15,18,-3.6,2.2
Monday,30,'Long Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,1,'Short Delay','York South-Weston ',5,16,8,12,-3.6,2.2
Monday,7,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,7,'Short Delay','Don Valley West  ',21,13,15,18,-3.6,2.2
Monday,14,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,1,'Long Delay',Toronto-Danforth ,16,15,22,8,-3.6,2.2
Monday,55,'Long Delay','Etobicoke Centre ',4,1,19,11,-3.6,2.2
Monday,28,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,24,'Short Delay','Parkdale-High Park ',12,18,23,6,-3.6,2.2
Monday,4,'Short Delay',Toronto-Danforth ,16,15,22,8,-3.6,2.2
Monday,42,'Long Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,52,'Long Delay','Don Valley West  ',21,13,15,18,-3.6,2.2
Monday,1,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,7,'Short Delay',Toronto-Danforth ,16,15,22,8,-3.6,2.2
Monday,25,'Short Delay','Scarborough-Rouge Park  ',23,6,11,24,-3.6,2.2
Monday,18,'Short Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,1,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,10,'Short Delay',Willowdale ,2,17,13,7,-3.6,2.2
Monday,30,'Long Delay',Toronto-Danforth ,16,15,22,8,-3.6,2.2
Monday,1,'Short Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,20,'Short Delay','Etobicoke North ',3,21,3,20,-3.6,2.2
Monday,197,'Long Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,16,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,456,'Long Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,20,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,20,'Short Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,197,'Long Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,26,'Short Delay','Spadina-Fort York ',6,25,25,1,-3.6,2.2
Monday,11,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,1,'Short Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,21,'Short Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,18,'Short Delay','Scarborough-Rouge Park  ',23,6,11,24,-3.6,2.2
Monday,20,'Short Delay',Scarborough-Agincourt ,17,2,4,21,-3.6,2.2
Monday,13,'Short Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,12,'Short Delay','Don Valley North ',10,5,10,14,-3.6,2.2
Monday,37,'Long Delay','Etobicoke North ',3,21,3,20,-3.6,2.2
Monday,20,'Short Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,14,'Short Delay',Willowdale ,2,17,13,7,-3.6,2.2
Monday,16,'Short Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,1,'Short Delay','York South-Weston ',5,16,8,12,-3.6,2.2
Monday,60,'Long Delay',Eglinton-Lawrence ,7,12,17,13,-3.6,2.2
Monday,32,'Long Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,1,'Short Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,19,'Short Delay','Etobicoke North ',3,21,3,20,-3.6,2.2
Monday,10,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,8,'Short Delay',University-Rosedale ,19,23,18,5,-3.6,2.2
Monday,88,'Long Delay',University-Rosedale ,19,23,18,5,-3.6,2.2
Monday,18,'Short Delay',Scarborough-Agincourt ,17,2,4,21,-3.6,2.2
Monday,40,'Long Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,1,'Long Delay','Scarborough North ',24,3,5,25,-3.6,2.2
Monday,16,'Short Delay','York South-Weston ',5,16,8,12,-3.6,2.2
Monday,36,'Long Delay','York South-Weston ',5,16,8,12,-3.6,2.2
Monday,34,'Long Delay',Davenport ,13,20,20,10,-3.6,2.2
Monday,20,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,10,'Short Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,11,'Short Delay','Etobicoke North ',3,21,3,20,-3.6,2.2
Monday,0,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,10,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,18,'Short Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,60,'Long Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,24,'Short Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,12,'Short Delay','Scarborough-Rouge Park  ',23,6,11,24,-3.6,2.2
Monday,20,'Short Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,10,'Short Delay','Scarborough North ',24,3,5,25,-3.6,2.2
Monday,12,'Short Delay','Don Valley West  ',21,13,15,18,-3.6,2.2
Monday,1,'Short Delay',Toronto-Danforth ,16,15,22,8,-3.6,2.2
Monday,40,'Long Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,26,'Short Delay',Scarborough-Agincourt ,17,2,4,21,-3.6,2.2
Monday,20,'Short Delay',Willowdale ,2,17,13,7,-3.6,2.2
Monday,26,'Short Delay',Eglinton-Lawrence ,7,12,17,13,-3.6,2.2
Monday,24,'Short Delay','Don Valley West  ',21,13,15,18,-3.6,2.2
Monday,20,'Short Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,26,'Short Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,1,'Short Delay',Toronto-Danforth ,16,15,22,8,-3.6,2.2
Monday,17,'Short Delay',Willowdale ,2,17,13,7,-3.6,2.2
Monday,10,'Short Delay','Spadina-Fort York ',6,25,25,1,-3.6,2.2
Monday,16,'Short Delay',Toronto-Danforth ,16,15,22,8,-3.6,2.2
Monday,40,'Long Delay',Scarborough-Agincourt ,17,2,4,21,-3.6,2.2
Monday,1,'Short Delay','Scarborough North ',24,3,5,25,-3.6,2.2
Monday,39,'Long Delay','Scarborough North ',24,3,5,25,-3.6,2.2
Monday,20,'Short Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,24,'Short Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,38,'Long Delay',Scarborough-Agincourt ,17,2,4,21,-3.6,2.2
Monday,9,'Short Delay',Eglinton-Lawrence ,7,12,17,13,-3.6,2.2
Monday,14,'Short Delay','Parkdale-High Park ',12,18,23,6,-3.6,2.2
Monday,40,'Long Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,15,'Short Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,46,'Long Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,12,'Short Delay','Etobicoke North ',3,21,3,20,-3.6,2.2
Monday,12,'Short Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,18,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,10,'Short Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,20,'Short Delay',Eglinton-Lawrence ,7,12,17,13,-3.6,2.2
Monday,1,'Short Delay','Etobicoke North ',3,21,3,20,-3.6,2.2
Monday,24,'Short Delay',Scarborough-Agincourt ,17,2,4,21,-3.6,2.2
Monday,18,'Short Delay','Parkdale-High Park ',12,18,23,6,-3.6,2.2
Monday,35,'Short Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,1,'Short Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,35,'Short Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,1,'Long Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,15,'Short Delay',Eglinton-Lawrence ,7,12,17,13,-3.6,2.2
Monday,1,'Long Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,1,'Short Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,1,'Long Delay','Scarborough Centre ',8,14,7,16,-3.6,2.2
Monday,15,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,22,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,10,'Short Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,20,'Short Delay',Willowdale ,2,17,13,7,-3.6,2.2
Monday,10,'Short Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,22,'Short Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,15,'Short Delay','Parkdale-High Park ',12,18,23,6,-3.6,2.2
Monday,37,'Short Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,17,'Short Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,20,'Short Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,20,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,20,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,12,'Short Delay','Don Valley West  ',21,13,15,18,-3.6,2.2
Monday,18,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,12,'Short Delay',Willowdale ,2,17,13,7,-3.6,2.2
Monday,20,'Short Delay','Don Valley West  ',21,13,15,18,-3.6,2.2
Monday,35,'Long Delay','Etobicoke Centre ',4,1,19,11,-3.6,2.2
Monday,34,'Long Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,16,'Short Delay',Eglinton-Lawrence ,7,12,17,13,-3.6,2.2
Monday,25,'Short Delay','Scarborough-Rouge Park  ',23,6,11,24,-3.6,2.2
Monday,6,'Short Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,23,'Long Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,30,'Long Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,35,'Long Delay','Parkdale-High Park ',12,18,23,6,-3.6,2.2
Monday,25,'Long Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,24,'Short Delay',Scarborough-Agincourt ,17,2,4,21,-3.6,2.2
Monday,24,'Long Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,24,'Long Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,21,'Long Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,25,'Long Delay','Etobicoke Centre ',4,1,19,11,-3.6,2.2
Monday,30,'Long Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,21,'Long Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,20,'Short Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,49,'Long Delay','Don Valley West  ',21,13,15,18,-3.6,2.2
Monday,57,'Long Delay','Don Valley West  ',21,13,15,18,-3.6,2.2
Monday,40,'Short Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,28,'Short Delay','Etobicoke North ',3,21,3,20,-3.6,2.2
Monday,12,'Short Delay',Toronto-Danforth ,16,15,22,8,-3.6,2.2
Monday,32,'Long Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,0,'Short Delay',University-Rosedale ,19,23,18,5,-3.6,2.2
Monday,60,'Long Delay',Toronto-Danforth ,16,15,22,8,-3.6,2.2
Monday,41,'Long Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,126,'Long Delay',Willowdale ,2,17,13,7,-3.6,2.2
Monday,123,'Long Delay',Willowdale ,2,17,13,7,-3.6,2.2
Monday,1,'Short Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,10,'Short Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,22,'Short Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,25,'Short Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,44,'Long Delay','Etobicoke North ',3,21,3,20,-3.6,2.2
Monday,16,'Short Delay','Scarborough North ',24,3,5,25,-3.6,2.2
Monday,38,'Long Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,55,'Long Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,40,'Long Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,1,'Short Delay',Willowdale ,2,17,13,7,-3.6,2.2
Monday,31,'Long Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,30,'Long Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,53,'Long Delay','Scarborough-Rouge Park  ',23,6,11,24,-3.6,2.2
Monday,20,'Short Delay','Spadina-Fort York ',6,25,25,1,-3.6,2.2
Monday,30,'Long Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,28,'Short Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,46,'Long Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,28,'Short Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,40,'Long Delay',University-Rosedale ,19,23,18,5,-3.6,2.2
Monday,18,'Short Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,34,'Long Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,26,'Short Delay','Spadina-Fort York ',6,25,25,1,-3.6,2.2
Monday,20,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,18,'Short Delay','Scarborough-Rouge Park  ',23,6,11,24,-3.6,2.2
Monday,15,'Short Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,119,'Long Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,16,'Short Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,20,'Short Delay',University-Rosedale ,19,23,18,5,-3.6,2.2
Monday,20,'Long Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,21,'Long Delay','Scarborough-Rouge Park  ',23,6,11,24,-3.6,2.2
Monday,30,'Long Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,26,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,31,'Long Delay','Scarborough North ',24,3,5,25,-3.6,2.2
Monday,28,'Long Delay','Scarborough Centre ',8,14,7,16,-3.6,2.2
Monday,18,'Short Delay','Don Valley East  ',25,7,9,19,-3.6,2.2
Monday,38,'Long Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,44,'Long Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,34,'Long Delay','Etobicoke North ',3,21,3,20,-3.6,2.2
Monday,40,'Long Delay','Don Valley West  ',21,13,15,18,-3.6,2.2
Monday,20,'Short Delay','Scarborough-Rouge Park  ',23,6,11,24,-3.6,2.2
Monday,40,'Long Delay',University-Rosedale ,19,23,18,5,-3.6,2.2
Monday,45,'Long Delay',University-Rosedale ,19,23,18,5,-3.6,2.2
Monday,28,'Short Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,28,'Short Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,30,'Long Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,16,'Short Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,18,'Short Delay','Don Valley East  ',25,7,9,19,-3.6,2.2
Monday,28,'Short Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,18,'Short Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,18,'Short Delay','Scarborough Centre ',8,14,7,16,-3.6,2.2
Monday,290,'Short Delay',Davenport ,13,20,20,10,-3.6,2.2
Monday,30,'Long Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,45,'Long Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,48,'Long Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,15,'Short Delay','Etobicoke North ',3,21,3,20,-3.6,2.2
Monday,16,'Short Delay','Spadina-Fort York ',6,25,25,1,-3.6,2.2
Monday,9,'Short Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,92,'Long Delay','Scarborough-Rouge Park  ',23,6,11,24,-3.6,2.2
Monday,28,'Short Delay','York Centre ',18,8,16,17,-3.6,2.2
Monday,6,'Short Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,18,'Short Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,16,'Short Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,1,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,1,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,1,'Short Delay','Toronto Centre ',20,24,12,3,-3.6,2.2
Monday,18,'Short Delay','Scarborough North ',24,3,5,25,-3.6,2.2
Monday,30,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,12,'Short Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,20,'Short Delay','Spadina-Fort York ',6,25,25,1,-3.6,2.2
Monday,60,'Long Delay',Etobicoke-Lakeshore ,1,4,21,2,-3.6,2.2
Monday,12,'Short Delay','Scarborough North ',24,3,5,25,-3.6,2.2
Monday,20,'Short Delay','Beaches-East York ',11,10,14,9,-3.6,2.2
Monday,39,'Long Delay','Parkdale-High Park ',12,18,23,6,-3.6,2.2
Monday,44,'Long Delay','Don Valley West  ',21,13,15,18,-3.6,2.2
Monday,11,'Short Delay',Scarborough-Guildwood ,22,19,1,23,-3.6,2.2
Monday,20,'Short Delay','Scarborough Southwest ',9,9,6,15,-3.6,2.2
Monday,22,'Short Delay','Spadina-Fort York ',6,25,25,1,-3.6,2.2
Monday,20,'Short Delay','Humber River-Black Creek ',14,22,2,22,-3.6,2.2
Monday,20,'Short Delay','Etobicoke Centre ',4,1,19,11,-3.6,2.2
Monday,40,'Long Delay','Don Valley West  ',21,13,15,18,-3.6,2.2
Monday,24,'Short Delay',Davenport ,13,20,20,10,-3.6,2.2
Monday,20,'Short Delay','Toronto-St. Paul’s  ',15,11,24,4,-3.6,2.2
Monday,52,'Long Delay','Parkdale-High Park ',12,18,23,6,-3.6,2.2
Monday,18,'Short Delay','Scarborough Centre ',8,14,7,16,-3.6,2.2
Monday,20,'Short Delay',Willowdale ,2,17,13,7,-3.6,2.2
Tuesday,123,'Long Delay','Don Valley North ',10,5,10,14,-9,0
Tuesday,20,'Short Delay',Toronto-Danforth ,16,15,22,8,-9,0
Tuesday,1,'Short Delay','Humber River-Black Creek ',14,22,2,22,-9,0
Tuesday,20,'Short Delay','Beaches-East York ',11,10,14,9,-9,0
Tuesday,20,'Short Delay','Scarborough Centre ',8,14,7,16,-9,0
Tuesday,18,'Short Delay',Scarborough-Agincourt ,17,2,4,21,-9,0
Tuesday,10,'Short Delay','Beaches-East York ',11,10,14,9,-9,0
Tuesday,60,'Long Delay','York Centre ',18,8,16,17,-9,0
Tuesday,23,'Long Delay','Spadina-Fort York ',6,25,25,1,-9,0
Tuesday,11,'Short Delay','Scarborough North ',24,3,5,25,-9,0
Tuesday,1,'Short Delay','Toronto Centre ',20,24,12,3,-9,0
Tuesday,52,'Long Delay',Willowdale ,2,17,13,7,-9,0
Tuesday,10,'Short Delay','Scarborough North ',24,3,5,25,-9,0
